epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
37,7936.38,1.59695,2.36661,0.68577,0.00741,0.62056,0.95748,0.96012,0.98221,0.54742,0.85576,0.85812,0.80242,0.28571,1.52684,2.3654,0.43448,0.00759,0,0.000741601,0.000741601,0.000741601
38,8150.59,1.59097,2.37496,0.688,0.00735,0.62658,0.95971,0.9581,0.98057,0.54608,0.86149,0.85848,0.8106,0.29226,1.5173,2.37214,0.46054,0.00756,0,0.000728717,0.000728717,0.000728717
39,8365.22,1.57753,2.36101,0.67746,0.00733,0.61938,0.95987,0.96306,0.98308,0.5465,0.86276,0.85573,0.80005,0.28722,1.52296,2.37782,0.44615,0.00759,0,0.000715656,0.000715656,0.000715656
40,8581.26,1.57995,2.35142,0.67314,0.00732,0.60962,0.96063,0.95828,0.98139,0.54796,0.8728,0.86363,0.8172,0.29156,1.51596,2.37036,0.44432,0.00753,0,0.000702432,0.000702432,0.000702432
41,8796.32,1.57876,2.351,0.66601,0.00733,0.61154,0.96247,0.95865,0.98255,0.55061,0.86636,0.86069,0.81284,0.29407,1.52003,2.36411,0.43256,0.00755,0,0.000689058,0.000689058,0.000689058
42,9011.1,1.57575,2.34168,0.66674,0.00732,0.59873,0.96159,0.96471,0.98388,0.54893,0.8649,0.85771,0.81077,0.28871,1.52714,2.36668,0.43094,0.00761,0,0.000675546,0.000675546,0.000675546
43,9226.24,1.57495,2.34925,0.67602,0.00724,0.61183,0.95754,0.96416,0.98299,0.55074,0.86488,0.85867,0.80517,0.29001,1.51691,2.35913,0.44466,0.00754,0,0.00066191,0.00066191,0.00066191
44,9440.81,1.56557,2.35063,0.66345,0.00725,0.59305,0.95751,0.96343,0.9825,0.54993,0.8679,0.86822,0.81694,0.29409,1.51554,2.36682,0.4455,0.00754,0,0.000648164,0.000648164,0.000648164
45,9655.35,1.57129,2.348,0.66947,0.00722,0.59319,0.95979,0.96067,0.98214,0.5518,0.87208,0.86326,0.81827,0.29435,1.5193,2.35312,0.43501,0.00755,0,0.000634322,0.000634322,0.000634322
46,9870.46,1.56179,2.34548,0.66491,0.0072,0.59568,0.95852,0.96655,0.98492,0.55239,0.87306,0.86711,0.81721,0.29861,1.51346,2.3548,0.43364,0.00754,0,0.000620396,0.000620396,0.000620396
